;action_representation_interet_id;responsable_public;departement_ministeriel;responsable_public_ou_dpt_ministeriel_autre
245;92;Membre du Gouvernement ou membre de cabinet ministériel; emploi;
246;92;Membre du Gouvernement ou membre de cabinet ministériel; formation professionnelle et dialogue social;
247;92;Membre du Gouvernement ou membre de cabinet ministériel - Travail, emploi, formation professionnelle et dialogue social;;
248;98;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
249;98;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
250;120;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
251;120;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
252;122;Membre du Gouvernement ou membre de cabinet ministériel;Affaires sociales et santé;
253;122;Membre du Gouvernement ou membre de cabinet ministériel - Affaires sociales et santé;;
254;123;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
255;123;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
256;123;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
257;123;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances, Environnement, énergie et mer;;
258;124;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
259;124;Membre du Gouvernement ou membre de cabinet ministériel; Agriculture;
260;124;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
261;124;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
262;124;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
263;124;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
264;124;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Agriculture, agroalimentaire et forêt, Economie et finances, Environnement, énergie et mer;;
265;125;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
266;125;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
267;125;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
268;125;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt, Affaires sociales et santé;;
269;126;Membre du Gouvernement ou membre de cabinet ministériel;Affaires étrangères et développement international;
270;126;Membre du Gouvernement ou membre de cabinet ministériel - Affaires étrangères et développement international;;
271;127;Membre du Gouvernement ou membre de cabinet ministériel;Environnement;
272;127;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
273;127;Membre du Gouvernement ou membre de cabinet ministériel - Environnement, énergie et mer;;
274;128;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
275;128;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
276;128;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt;;
