;action_representation_interet_id;responsable_public;departement_ministeriel;responsable_public_ou_dpt_ministeriel_autre
277;129;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;Dans le cadre défini par la loi n°2013-907 du 11 octobre 2013, CACEIS n'est entré en communication avec aucune des catégories de responsables publics indiquées.
278;129;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;Dans le cadre défini par la loi n°2013-907 du 11 octobre 2013, CACEIS n'est entré en communication avec aucune des catégories de responsables publics indiquées.
279;130;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;Dans le cadre défini par la loi n°2013-907 du 11 octobre 2013, CACEIS n’est entré en communication avec aucune des catégories de responsables publics indiquées.
280;130;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;Dans le cadre défini par la loi n°2013-907 du 11 octobre 2013, CACEIS n’est entré en communication avec aucune des catégories de responsables publics indiquées.
281;142;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
282;142;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
283;146;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
284;146;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
285;147;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
286;147;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
287;148;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
288;148;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
289;149;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
290;149;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
291;150;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
292;150;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
293;151;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
294;151;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
295;152;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
296;152;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
297;153;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
298;153;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre;;
299;154;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
300;154;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
301;155;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
302;155;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
303;156;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
304;156;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
305;157;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
306;157;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
307;158;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
308;158;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
309;159;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
310;159;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
311;160;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
312;160;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
313;161;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
314;161;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
315;162;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
316;162;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
317;163;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
318;163;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
319;164;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
320;164;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
321;165;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
322;165;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
323;166;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
324;166;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
325;167;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
326;167;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
327;168;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
328;168;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
329;169;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
330;169;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
331;169;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendant;irecteur ou secrétaire général;
332;169;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendant; ou leur adjoint;
333;169;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendant; ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante ;
334;169;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante ;;
335;170;Membre du Gouvernement ou membre de cabinet ministérie;embre du Gouvernement ou membre de cabinet ministériel ;
336;170;Membre du Gouvernement ou membre de cabinet ministériel ;;
337;170;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendant;irecteur ou secrétaire général;
338;170;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendant; ou leur adjoint;
339;170;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendant; ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante ;
340;170;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante ;;
341;171;Membre du Gouvernement ou membre de cabinet ministérie;embre du Gouvernement ou membre de cabinet ministériel ;
342;171;Membre du Gouvernement ou membre de cabinet ministériel ;;
343;171;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendant;irecteur ou secrétaire général;
344;171;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendant; ou leur adjoint;
345;171;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendant; ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante ;
346;171;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante ;;
347;172;Membre du Gouvernement ou membre de cabinet ministérie;embre du Gouvernement ou membre de cabinet ministériel ;
348;172;Membre du Gouvernement ou membre de cabinet ministériel ;;
349;172;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendant;irecteur ou secrétaire général;
350;172;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendant; ou leur adjoint;
351;172;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendant; ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante ;
352;172;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante ;;
353;173;Membre du Gouvernement ou membre de cabinet ministérie;embre du Gouvernement ou membre de cabinet ministériel ;
354;173;Membre du Gouvernement ou membre de cabinet ministériel ;;
355;173;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendant;irecteur ou secrétaire général;
356;173;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendant; ou leur adjoint;
357;173;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendant; ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante ;
358;173;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante ;;
359;174;Membre du Gouvernement ou membre de cabinet ministérie;embre du Gouvernement ou membre de cabinet ministériel ;
360;174;Membre du Gouvernement ou membre de cabinet ministériel ;;
361;174;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendant;irecteur ou secrétaire général;
362;174;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendant; ou leur adjoint;
363;174;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendant; ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante ;
364;174;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante ;;
365;175;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
366;175;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
367;175;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendant;irecteur ou secrétaire général;
368;175;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendant; ou leur adjoint;
369;175;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendant; ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante ;
